Project,Tracker,Priority,Estimated time,Private,Effort,Subject_clean,N of Part
100.1 Oramix - RGPD,Task,Trivial,4.0,No,4.0,monitoring meeting 1,1
100.1 Oramix - RGPD,Task,Trivial,4.0,No,4.0,workshop 6 information security,1
100.1 Oramix - RGPD,Task,Trivial,4.0,No,4.0,workshop 4 data violation and order management,1
100.1 Oramix - RGPD,Task,Trivial,4.0,No,8.0,workshop 2 risk treatment process,2
100.1 Oramix - RGPD,Task,Trivial,4.0,No,8.0,workshop 1 data treatment process,2
100.1 Oramix - RGPD,Task,Trivial,12.0,No,24.0,initial evaluation,2
100.1 Oramix - RGPD,Task,Trivial,2.0,No,4.0,workshop plan,2
100.1 Oramix - RGPD,Task,Trivial,3.5,No,7.0,initial training,2
100.1 Oramix - RGPD,Task,Trivial,4.0,No,12.0,kickoff meeting,3
100.1 Oramix - RGPD,Task,Trivial,3.0,No,6.0,project configuration,2
104.1 Ordem dos Farmacêuticos - RGPD,Task,Trivial,3.5,Yes,3.5,workshop 6 information security,1
104.1 Ordem dos Farmacêuticos - RGPD,Task,Trivial,3.5,Yes,7.0,workshop 5 support process,2
104.1 Ordem dos Farmacêuticos - RGPD,Task,Trivial,3.5,Yes,3.5,workshop 4 data violation and order management,1
104.1 Ordem dos Farmacêuticos - RGPD,Task,Trivial,3.5,Yes,3.5,workshop 3 privacy policy and consent process,1
104.1 Ordem dos Farmacêuticos - RGPD,Task,Trivial,3.0,Yes,6.0,workshop 2 risk treatment process,2
104.1 Ordem dos Farmacêuticos - RGPD,Task,Trivial,4.0,Yes,4.0,initial training,1
104.1 Ordem dos Farmacêuticos - RGPD,Task,Trivial,3.5,No,7.0,workshop 1 data treatment process,2
104.1 Ordem dos Farmacêuticos - RGPD,Task,Trivial,2.0,No,2.0,workshop plan,1
104.1 Ordem dos Farmacêuticos - RGPD,Task,Trivial,8.0,No,16.0,initial evaluation,2
104.1 Ordem dos Farmacêuticos - RGPD,Task,Trivial,2.0,No,2.0,project configuration,1
104.1 Ordem dos Farmacêuticos - RGPD,Task,Trivial,1.5,No,3.0,kickoff meeting,2
105.1 GADSA - ISO 27001,Task,Trivial,4.0,Yes,4.0,preparation workshop,1
105.1 GADSA - ISO 27001,Task,Trivial,28.0,Yes,28.0,preparation workshop,1
105.1 GADSA - ISO 27001,Task,Trivial,14.0,Yes,14.0,preparation workshop,1
105.1 GADSA - ISO 27001,Task,Trivial,4.0,Yes,4.0,followup 5 politics of it,1
105.1 GADSA - ISO 27001,Task,Trivial,4.0,Yes,8.0,accompaniment 3 quality manual information security information safety objective,2
105.1 GADSA - ISO 27001,Task,Trivial,4.0,Yes,8.0,accompaniment 2 inventory of asset and risk excel,2
105.1 GADSA - ISO 27001,Task,Trivial,4.0,Yes,4.0,accompaniment 1 it,1
105.1 GADSA - ISO 27001,Task,Trivial,2.0,No,2.0,workshop 7 capacity and availability management business continuity,1
105.1 GADSA - ISO 27001,Task,Trivial,3.0,No,3.0,workshop 6 purchase and legal,1
105.1 GADSA - ISO 27001,Task,Trivial,3.0,No,6.0,workshop 5 information security in hr marketing,2
105.1 GADSA - ISO 27001,Task,Trivial,2.0,No,4.0,workshop 4 vulnerability problem and incident management,2
105.1 GADSA - ISO 27001,Task,Trivial,8.0,No,8.0,workshop 3 physical and logical control,1
105.1 GADSA - ISO 27001,Task,Trivial,4.0,No,8.0,workshop 2 information security management system integrated system management,2
105.1 GADSA - ISO 27001,Task,Trivial,4.0,No,8.0,workshop 1 information security risk analysis and treatment,2
